# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  2970.26 1.5596e-15   3097.42 0 
  2990.85 1.5753e-15   3118.89 0 
  3011.58 1.6059e-15   3140.51 0 
  3032.46 1.6184e-15   3162.28 0 
  3053.48 1.6272e-15   3184.20 0 
  3067.57 1.6432e-15   3198.90 0 
  3088.84 1.6636e-15   3221.07 0 
  3110.25 1.6688e-15   3243.40 0 
  3131.81 1.6664e-15   3265.88 0 
  3153.51 1.6910e-15   3288.52 0 
  3168.07 1.6998e-15   3303.70 0 
  3190.03 1.6549e-15   3326.60 0 
  3212.14 1.7067e-15   3349.66 0 
  3226.97 1.6727e-15   3365.12 0 
  3249.34 1.7410e-15   3388.44 0 
  3271.86 1.7872e-15   3411.93 0 
  3286.96 1.7965e-15   3427.68 0 
  3309.75 1.8064e-15   3451.44 0 
  3325.02 1.8242e-15   3467.37 0 
  3332.69 1.8290e-15   3475.36 0 
  3340.37 1.7552e-15   3483.37 0 
  3348.07 1.8813e-15   3491.40 0 
  3355.79 1.8013e-15   3499.45 0 
  3363.53 1.7327e-15   3507.52 0 
  3371.28 1.7293e-15   3515.60 0 
  3379.05 1.8407e-15   3523.71 0 
  3386.84 1.8455e-15   3531.83 0 
  3394.65 1.8675e-15   3539.97 0 
  3402.47 1.9248e-15   3548.13 0 
  3410.32 1.8093e-15   3556.31 0 
  3418.18 1.8435e-15   3564.51 0 
  3426.06 1.8870e-15   3572.73 0 
  3433.96 1.9449e-15   3580.96 0 
  3441.87 1.8924e-15   3589.22 0 
  3449.81 1.8670e-15   3597.49 0 
  3457.76 1.8462e-15   3605.79 0 
  3465.73 1.8130e-15   3614.10 0 
  3473.72 1.9122e-15   3622.43 0 
  3481.73 1.8478e-15   3630.78 0 
  3489.75 1.9265e-15   3639.15 0 
  3497.80 1.8746e-15   3647.54 0 
  3505.86 1.9056e-15   3655.95 0 
  3513.94 1.8757e-15   3664.37 0 
  3522.04 1.9511e-15   3672.82 0 
  3530.16 1.8898e-15   3681.29 0 
  3538.30 1.9613e-15   3689.78 0 
  3546.46 1.9892e-15   3698.28 0 
  3554.63 2.0082e-15   3706.81 0 
  3562.83 1.9903e-15   3715.35 0 
  3571.04 1.9101e-15   3723.92 0 
  3579.27 1.8715e-15   3732.50 0 
  3587.52 1.8043e-15   3741.11 0 
  3594.13 2.6213e-15   3747.99 1 
  3596.76 1.5844e-15   3750.74 1 
  3599.40 1.3979e-15   3753.49 1 
  3602.04 2.3314e-15   3756.24 1 
  3604.67 3.8356e-15   3758.99 1 
  3607.31 1.9164e-15   3761.74 1 
  3609.95 9.6658e-16   3764.49 1 
  3612.59 7.3802e-16   3767.24 1 
  3615.22 3.9849e-16   3769.99 1 
  3617.86 2.8172e-15   3772.74 1 
  3620.50 1.4052e-15   3775.49 1 
  3623.13 9.3875e-16   3778.24 1 
  3625.77 4.8494e-16   3780.99 1 
  3628.41 2.9272e-15   3783.74 1 
  3631.04 2.3764e-15   3786.49 1 
  3633.68 2.6670e-15   3789.24 1 
  3636.32 1.2069e-15   3791.99 1 
  3638.96 3.2213e-15   3794.74 1 
  3641.59 3.0684e-15   3797.49 1 
  3644.23 6.9967e-16   3800.24 1 
  3646.87 2.3069e-15   3802.99 1 
  3649.50 2.0374e-16   3805.74 1 
  3652.14 5.3827e-16   3808.49 1 
  3654.78 3.3950e-15   3811.24 1 
  3657.42 2.5164e-15   3813.99 1 
  3660.05 1.3259e-15   3816.74 1 
  3662.69 3.0006e-15   3819.49 1 
  3665.33 4.2684e-16   3822.24 1 
  3667.96 2.1501e-15   3824.99 1 
  3670.60 6.7353e-16   3827.74 1 
  3673.24 1.2622e-15   3830.49 1 
  3675.88 1.4435e-15   3833.24 1 
  3678.51 2.3230e-15   3835.99 1 
  3681.15 1.2767e-15   3838.74 1 
  3683.79 1.0735e-15   3841.49 1 
  3686.42 2.0043e-15   3844.24 1 
  3689.06 1.5096e-15   3846.99 1 
  3691.70 1.6093e-15   3849.74 1 
  3694.34 3.9999e-15   3852.49 1 
  3696.97 3.1966e-16   3855.24 1 
  3699.61 2.3056e-15   3857.99 1 
  3702.25 1.2876e-15   3860.74 1 
  3704.88 1.8265e-15   3863.49 1 
  3707.52 2.1032e-15   3866.24 1 
  3710.16 7.9521e-16   3868.99 1 
  3712.80 3.3233e-15   3871.74 1 
  3715.43 1.9666e-15   3874.49 1 
  3718.07 2.6373e-15   3877.24 1 
  3720.71 8.5488e-16   3879.99 1 
  3723.34 1.1617e-15   3882.74 1 
  3725.98 3.8219e-15   3885.49 1 
  3728.62 4.1385e-15   3888.24 1 
  3731.25 8.0283e-15   3890.99 1 
  3733.89 5.5521e-15   3893.74 1 
  3736.53 3.4991e-15   3896.49 1 
  3739.17 2.3696e-15   3899.24 1 
  3741.80 2.5938e-15   3901.99 1 
  3744.44 3.6659e-15   3904.74 1 
  3747.08 2.2135e-15   3907.49 1 
