# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  3611.42 4.8346e-15   3722.76 1 
  3614.08 9.1356e-16   3725.51 1 
  3616.75 1.5861e-15   3728.26 1 
  3619.42 9.3102e-16   3731.01 1 
  3622.09 1.6115e-15   3733.76 1 
  3624.76 2.3426e-15   3736.51 1 
  3627.42 4.7698e-16   3739.26 1 
  3630.09 2.8470e-15   3742.01 1 
  3632.76 1.2118e-15   3744.76 1 
  3635.43 1.8691e-16   3747.51 1 
  3638.09 9.8222e-16   3750.26 1 
  3640.76 3.8632e-15   3753.01 1 
  3643.43 5.8862e-15   3755.76 1 
  3646.10 2.7529e-15   3758.51 1 
  3648.76 1.7114e-15   3761.26 1 
  3651.43 1.2269e-15   3764.01 1 
  3654.10 2.9427e-15   3766.76 1 
  3656.77 4.8219e-15   3769.51 1 
  3659.44 4.1112e-15   3772.26 1 
  3662.10 3.4025e-15   3775.01 1 
  3664.77 1.4149e-15   3777.76 1 
  3667.44 5.2919e-15   3780.51 1 
  3670.11 4.7566e-15   3783.26 1 
  3672.77 2.5105e-15   3786.01 1 
  3675.44 3.5431e-15   3788.76 1 
  3678.11 4.7077e-15   3791.51 1 
  3680.78 5.1999e-15   3794.26 1 
  3683.45 1.2645e-15   3797.01 1 
  3686.11 3.4120e-15   3799.76 1 
  3688.78 2.8018e-15   3802.51 1 
  3691.45 2.1158e-15   3805.26 1 
  3694.12 3.7443e-15   3808.01 1 
  3696.78 4.6619e-15   3810.76 1 
  3699.45 1.9584e-15   3813.51 1 
  3702.12 2.7624e-15   3816.26 1 
  3704.79 2.4579e-15   3819.01 1 
  3707.46 2.2663e-15   3821.76 1 
  3710.12 2.8724e-15   3824.51 1 
  3712.79 3.7725e-15   3827.26 1 
  3715.46 4.4609e-15   3830.01 1 
  3718.13 2.0701e-15   3832.76 1 
  3720.79 3.6358e-15   3835.51 1 
  3723.46 5.8640e-15   3838.26 1 
  3726.13 6.6167e-15   3841.01 1 
  3728.80 9.6825e-15   3843.76 1 
  3731.47 8.4448e-15   3846.51 1 
  3734.13 7.2564e-15   3849.26 1 
  3736.80 4.1660e-15   3852.01 1 
  3739.47 3.0148e-15   3854.76 1 
  3742.14 3.2964e-15   3857.51 1 
  3744.80 3.5077e-15   3860.26 1 
  3747.47 4.6028e-15   3863.01 1 
  3750.14 4.5707e-15   3865.76 1 
  3752.81 3.3953e-15   3868.51 1 
  3755.47 2.5764e-15   3871.26 1 
  3758.14 4.4059e-15   3874.01 1 
  3760.81 4.8670e-15   3876.76 1 
  3763.48 4.2728e-15   3879.51 1 
  3766.15 4.5196e-15   3882.26 1 
  3768.81 3.1082e-15   3885.01 1 
  3771.48 2.1303e-15   3887.76 1 
  3774.15 3.6110e-15   3890.51 1 
  3776.82 4.4052e-15   3893.26 1 
  3779.48 3.0150e-15   3896.01 1 
  3782.15 4.1986e-15   3898.76 1 
  3784.82 4.8777e-15   3901.51 1 
  3787.49 4.1252e-15   3904.26 1 
  3790.16 3.3582e-15   3907.01 1 
  3792.82 9.8454e-16   3909.76 1 
  3795.49 3.3828e-15   3912.51 1 
  3798.16 5.0233e-15   3915.26 1 
  3800.83 2.4713e-15   3918.01 1 
  3803.49 1.8946e-15   3920.76 1 
  3806.16 4.3464e-15   3923.51 1 
  3808.83 4.8468e-15   3926.26 1 
  3811.50 5.1303e-15   3929.01 1 
  3814.17 5.3684e-15   3931.76 1 
  3816.83 4.5330e-15   3934.51 1 
  3819.50 5.2168e-15   3937.26 1 
  3822.17 5.8720e-15   3940.01 1 
  3824.84 2.5751e-15   3942.76 1 
  3827.50 3.5810e-15   3945.51 1 
  3830.17 3.4042e-15   3948.26 1 
  3832.84 3.9805e-15   3951.01 1 
  3835.51 3.1750e-15   3953.76 1 
  3838.18 2.8130e-15   3956.51 1 
  3840.84 4.0576e-15   3959.26 1 
  3843.51 4.9148e-15   3962.01 1 
  3846.18 1.8497e-15   3964.76 1 
  3848.85 3.5588e-15   3967.51 1 
  3851.51 5.5375e-15   3970.26 1 
  3854.18 6.3133e-15   3973.01 1 
  3856.85 5.2462e-15   3975.76 1 
  3859.52 3.7867e-15   3978.51 1 
  3862.18 5.0768e-15   3981.26 1 
  3864.85 4.1812e-15   3984.01 1 
  3867.52 6.3144e-15   3986.76 1 
  3870.19 6.0420e-15   3989.51 1 
  3872.86 5.6695e-15   3992.26 1 
